customer_id,recency,frequency,monetary,segment,segment_label
C0001,6,41,228329.0,3,At Risk
C0002,5,41,200205.5,3,At Risk
C0003,3,25,139561.0,0,High Value
C0004,8,74,362173.5,2,New/Occasional
C0005,23,27,82187.5,0,High Value
C0006,1,56,384087.0,2,New/Occasional
C0007,8,51,218200.5,3,At Risk
C0008,38,36,205122.0,0,High Value
C0009,4,78,311591.0,2,New/Occasional
C0010,4,28,128024.5,0,High Value
C0011,3,83,401733.0,2,New/Occasional
C0012,38,38,160479.5,0,High Value
C0013,1,48,200721.0,3,At Risk
C0014,32,42,160436.0,0,High Value
C0015,27,26,116969.0,0,High Value
C0016,19,61,227668.5,3,At Risk
C0017,13,52,285505.5,3,At Risk
C0018,5,43,190707.5,3,At Risk
C0019,14,66,230456.0,3,At Risk
C0020,17,39,131539.0,0,High Value
C0021,10,13,69115.0,0,High Value
C0022,9,65,328018.0,2,New/Occasional
C0023,6,36,164355.5,0,High Value
C0024,4,81,335081.5,2,New/Occasional
C0025,13,23,106806.5,0,High Value
C0026,5,22,154309.5,0,High Value
C0027,17,33,178424.5,0,High Value
C0028,14,32,145402.0,0,High Value
C0029,20,21,89629.0,0,High Value
C0030,13,72,343026.0,2,New/Occasional
C0031,22,61,252552.5,3,At Risk
C0032,9,87,383161.5,2,New/Occasional
C0033,3,71,392399.0,2,New/Occasional
C0034,23,23,93647.5,0,High Value
C0035,9,58,262728.0,3,At Risk
C0036,4,32,194101.0,0,High Value
C0037,1,70,329065.0,2,New/Occasional
C0038,6,15,41577.0,0,High Value
C0039,15,59,247725.0,3,At Risk
C0040,11,40,121765.0,0,High Value
C0041,7,35,155917.0,0,High Value
C0042,25,82,407689.5,2,New/Occasional
C0043,25,28,180299.0,0,High Value
C0044,10,48,367218.5,2,New/Occasional
C0045,23,51,192843.0,3,At Risk
C0046,3,9,42620.0,0,High Value
C0047,37,29,129436.0,0,High Value
C0048,4,66,271124.5,3,At Risk
C0049,19,21,129827.5,0,High Value
C0050,13,67,251885.5,3,At Risk
C0051,22,53,264701.0,3,At Risk
C0052,19,76,307773.0,2,New/Occasional
C0053,27,26,121861.5,0,High Value
C0054,50,15,90194.0,1,Steady/Regular
C0055,8,53,293964.5,3,At Risk
C0056,2,72,273256.0,2,New/Occasional
C0057,24,34,153465.0,0,High Value
C0058,3,34,174138.0,0,High Value
C0059,28,50,263371.0,3,At Risk
C0060,10,31,156673.5,0,High Value
C0061,4,61,283789.5,3,At Risk
C0062,3,53,176095.5,3,At Risk
C0063,28,77,342699.0,2,New/Occasional
C0064,15,25,85334.5,0,High Value
C0065,51,27,112355.5,1,Steady/Regular
