supplier_id,supplier_name,country,total_orders,on_time_pct,avg_unit_cost,return_rate_pct,composite_score
S003,Oommen Ltd Trading Co.,China,19,68.4,475.9378947368421,0.14,77.0
S007,Goda-Anand Trading Co.,China,21,71.4,354.42285714285714,0.29,76.5
S010,"Peri, Grewal and Bhavsar Trading Co.",India,25,60.0,317.5956,0.26,73.8
S005,"Gala, Agate and Ravi Trading Co.",India,16,75.0,406.018125,0.35,73.3
S001,Toor Inc Electronics,China,22,63.6,524.6972727272728,0.13,73.1
S012,"Das, Misra and Bava Electronics",China,29,69.0,438.3624137931034,0.27,72.7
S006,Sekhon-Radhakrishnan Electronics,India,23,73.9,412.95086956521743,0.35,72.4
S009,Sathe Ltd Trading Co.,China,19,78.9,518.9552631578948,0.32,71.9
S013,Sarma LLC Electronics,India,16,75.0,523.11875,0.37,67.4
S011,Karpe and Sons Trading Co.,India,22,63.6,584.8445454545455,0.22,66.2
S002,"Dass, Magar and Dugar Trading Co.",India,25,76.0,707.2096,0.33,62.0
S004,Varughese-Kata Trading Co.,China,16,75.0,460.8575,0.55,61.5
S014,"Issac, Bawa and Rau Trading Co.",India,18,61.1,491.3983333333333,0.38,61.3
S008,Sachar-Sen Electronics,China,21,66.7,1028.0042857142857,0.27,46.7
